STA,ISCPHASE,REPPHASE,DATE,TIME,LAT,LON,ELEV,DIST,BAZ,RES,TDEF,AUTHOR,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
DDI,Pn,Pg,911020,05:32:42,30.3225,78.0556,682,0.65,233.6,0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DDI,Sn,Sg,911020,05:32:52,30.3225,78.0556,682,0.65,233.6,0.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BHK,Pb,Pn,911020,05:33:05,31.4167,76.4167,410,2.05,290.8,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BHK,Sb,Sn,911020,05:33:31,31.4167,76.4167,410,2.05,290.8,1.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NDI,Pb,P,911020,05:33:09,28.6833,77.2167,230,2.37,212.2,-1.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NDI,Sb,Sn,911020,05:33:41,28.6833,77.2167,230,2.37,212.2,1.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SARP,Pn,P,911020,05:33:47,31.9215,72.6718,183,5.26,284.8,1.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CHCP,Pn,P,911020,05:33:50,33.6583,73.2638,579,5.43,304.2,2.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GKN,Pn,P,911020,05:33:55,28.003,84.637,1478,5.88,115.8,0.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
THW,Pn,P,911020,05:34:00,32.7943,71.7427,533,6.24,291.2,1.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DMN,Pn,P,911020,05:34:03,27.609,85.106,2225,6.43,117.1,1.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KKN,Pn,P,911020,05:34:02,27.79,85.28,1920,6.48,115,0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CEP,Pn,P,911020,05:34:03,33.8235,71.909,1376,6.5,300.3,1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CEP,Sn,S,911020,05:35:15,33.8235,71.909,1376,6.5,300.3,-0.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
VAR,Pn,P,911020,05:34:03,25.3,83.0167,88,6.62,143.4,-1.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
PKI,Pn,P,911020,05:34:06,27.571,85.409,2758,6.68,116.2,1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SBDP,Pn,P,911020,05:34:09,32.2997,70.8072,1356,6.89,285.3,1.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GUN,Pn,P,911020,05:34:08,27.9106,85.8794,2900,6.9,112,-0.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DRP,Pn,P,911020,05:34:16,31.744,70.2028,638,7.31,280.3,2.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KSH,Pn,P,911020,05:34:38,39.5167,75.9731,1314,9.06,346.7,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KSH,Sn,S,911020,05:36:16,39.5167,75.9731,1314,9.06,346.7,-2.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BLPI,Pn,P,911020,05:34:36,22.0833,82.4167,85,9.23,157.7,-4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
AKL,Pn,P,911020,05:34:52,20.7028,77.0153,310,10.07,188.8,0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
QUE,Pn,P,911020,05:34:53,30.1883,66.95,1721,10.12,270,0.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GAR,Pn,P,911020,05:34:59,39,70.316,1305,10.73,322.6,-1.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GAR,Pn,P,911020,05:35:00,39,70.316,1305,10.73,322.6,-0.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LSA,Pn,P,911020,05:35:04,29.7,91.15,3789,10.86,92.1,1.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LSA,Sn,S,911020,05:37:08,29.7,91.15,3789,10.86,92.1,5.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NRN,Pn,P,911020,05:35:03,41.4333,76,2849,10.92,349.4,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NRN,Sn,S,911020,05:36:59,41.4333,76,2849,10.92,349.4,-5.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NRN,Pn,P,911020,05:35:03,41.4333,76,2849,10.92,349.4,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NRN,Sn,S,911020,05:36:59,41.4333,76,2849,10.92,349.4,-5.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DSH,Pn,P,911020,05:35:08,38.5583,68.775,847,11.29,316.6,0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DSH,Sn,S,911020,05:37:09,38.5583,68.775,847,11.29,316.6,-4.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DSH,Pn,P,911020,05:35:08,38.5583,68.775,847,11.29,316.6,0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DSH,Sn,S,911020,05:37:09,38.5583,68.775,847,11.29,316.6,-4.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
PRZ,Pn,P,911020,05:35:15,42.4833,78.4,1835,11.75,359.1,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
PRZ,Sn,S,911020,05:37:18,42.4833,78.4,1835,11.75,359.1,-6.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
PRZ,Pn,P,911020,05:35:15,42.4833,78.4,1835,11.75,359.1,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
PRZ,Sn,S,911020,05:37:18,42.4833,78.4,1835,11.75,359.1,-6.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
FRU,Pn,P,911020,05:35:25,42.8333,74.6167,655,12.53,346.2,0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
FRU,Sn,S,911020,05:37:44,42.8333,74.6167,655,12.53,346.2,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
FRU,Pn,P,911020,05:35:26,42.8333,74.6167,655,12.53,346.2,1.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
FRU,Sn,S,911020,05:37:44,42.8333,74.6167,655,12.53,346.2,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
TLG,Pn,P,911020,05:35:25,43.23,77.23,850,12.55,355.2,-0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
TLG,Sn,S,911020,05:37:43,43.23,77.23,850,12.55,355.2,-1.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
AAB,Pn,P,911020,05:35:25,43.233,77.225,1120,12.55,355.2,-0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
AAB,Sn,S,911020,05:37:43,43.233,77.225,1120,12.55,355.2,-1.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SHL,Pn,P,911020,05:35:29,25.5667,91.8833,1600,12.74,110.5,1.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SHL,Sn,S,911020,05:37:52,25.5667,91.8833,1600,12.74,110.5,2.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
POO,Pn,P,911020,05:35:32,18.5295,73.8492,560,12.89,200.9,2.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
POO,Sn,S,911020,05:37:58,18.5295,73.8492,560,12.89,200.9,5.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
POO,Pn,P,911020,05:35:27,18.5295,73.8492,560,12.89,200.9,-2.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
POO,Sn,S,911020,05:37:46,18.5295,73.8492,560,12.89,200.9,-6.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BOM,Pn,P,911020,05:35:32,18.8958,72.8127,6,12.9,205.6,2.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BOM,Sn,S,911020,05:37:58,18.8958,72.8127,6,12.9,205.6,5.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BOM,Pn,P,911020,05:35:29,18.8958,72.8127,6,12.9,205.6,-0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BOM,Sn,S,911020,05:37:49,18.8958,72.8127,6,12.9,205.6,-3.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
HYB,Pn,P,911020,05:35:31,17.4169,78.5531,510,13.23,180.4,-3.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
HYB,Sn,S,911020,05:38:03,17.4169,78.5531,510,13.23,180.4,2.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
VIS,Pn,P,911020,05:35:36,17.721,83.3287,82,13.61,160.7,-3.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
VIS,Sn,S,911020,05:38:03,17.721,83.3287,82,13.61,160.7,-7.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KAD,Pn,P,911020,05:35:41,17.3075,74.1833,582,13.95,198,-3.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KAD,P,pP,911020,05:35:51,17.3075,74.1833,582,13.95,198,-1.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KAD,SnSn,SS,911020,05:38:25,17.3075,74.1833,582,13.95,198,-6.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
WMQ,Pn,P,911020,05:35:56,43.8211,87.695,897,14.92,26.2,-1.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
WMQ,P,pP,911020,05:36:02,43.8211,87.695,897,14.92,26.2,-1.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
WMQ,Sn,S,911020,05:38:42,43.8211,87.695,897,14.92,26.2,-0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
WMQ,S,SS,911020,05:38:58,43.8211,87.695,897,14.92,26.2,-1.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MAIO,Pn,P,911020,05:36:20,36.3083,59.4717,1150,16.94,294.4,-3.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ASH,P,P,911020,05:36:44,37.95,58.35,220,18.24,298.8,4.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GTA,Pn,P,911020,05:36:51,39.4106,99.8144,1341,19.34,57.6,-1.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GTA,sP,sP,911020,05:37:06,39.4106,99.8144,1341,19.34,57.6,2.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SEM,Pn,P,911020,05:36:56,50.408,80.25,2100,19.72,3,-1.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SEM,S,S,911020,05:40:33,50.408,80.25,2100,19.72,3,-3.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SEM,Pn,P,911020,05:36:56,50.408,80.25,2100,19.72,3,-1.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SEM,S,S,911020,05:40:33,50.408,80.25,2100,19.72,3,-3.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CD2,P,P,911020,05:37:13,30.91,103.758,628,21.55,83,-2.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LZH,P,P,911020,05:37:17,36.0867,103.844,1560,21.68,69,-0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LZH,pP,pP,911020,05:37:25,36.0867,103.844,1560,21.68,69,-1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LZH,sP,sP,911020,05:37:28,36.0867,103.844,1560,21.68,69,-1.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CHG,P,P,911020,05:37:19,18.8138,98.9438,416,21.86,118.1,-0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KMI,P,P,911020,05:37:23,25.1233,102.74,1940,21.98,98.7,2.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BDT,P,P,911020,05:37:30,17.2443,99.003,154,22.87,121.2,-0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BRVK,P,P,911020,05:37:32,53.0581,70.2828,315,23.16,347.1,-0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BRVK,P,P,911020,05:37:32,53.0581,70.2828,315,23.16,347.1,-0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ELT,P,P,911020,05:37:33,53.2614,86.2387,235,23.2,11.6,-0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ELT,S,S,911020,05:41:45,53.2614,86.2387,235,23.2,11.6,1.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ELT,P,P,911020,05:37:33,53.2614,86.2387,235,23.2,11.6,-0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ELT,S,S,911020,05:41:45,53.2614,86.2387,235,23.2,11.6,1.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KHT,P,P,911020,05:37:44,14.7848,98.5925,173,24.21,126.5,1.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NST,P,P,911020,05:37:52,15.6727,100.133,34,24.71,122.5,4.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GYA,P,P,911020,05:37:50,26.4586,106.664,1162,24.93,92.8,0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
XAN,P,P,911020,05:37:56,34.0394,108.9214,630,25.73,74.6,-0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
XAN,pP,pP,911020,05:38:04,34.0394,108.9214,630,25.73,74.6,-1.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MOY,P,P,911020,05:38:05,51.6667,100.9931,1303,26.66,31.8,0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ZAK,P,P,911020,05:38:08,50.3819,103.2806,1200,26.93,36.1,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ZAK,P,P,911020,05:38:08,50.3819,103.2806,1200,26.93,36.1,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BTO,P,P,911020,05:38:10,40.6056,110.0208,1114,27.21,60.1,0,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
HHC,P,P,911020,05:38:21,40.8494,111.564,1169,28.41,60,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
WHN,P,P,911020,05:38:41,30.5436,114.35,26,30.64,81,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BOD,P,P,911020,05:39:30,57.8189,114.0039,245,36.37,31.5,0,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BOD,P,P,911020,05:39:30,57.8189,114.0039,245,36.37,31.5,0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SNY,P,P,911020,05:39:39,41.8278,123.578,54,37.5,60.1,-0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SNY,pP,pP,911020,05:39:47,41.8278,123.578,54,37.5,60.1,-1.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MOS,P,P,911020,05:39:46,55.7383,37.625,121,38.14,323,1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MOS,pP,pP,911020,05:39:54,55.7383,37.625,121,38.14,323,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MOS,P,P,911020,05:39:46,55.7383,37.625,121,38.14,323,1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MOS,pP,pP,911020,05:39:54,55.7383,37.625,121,38.14,323,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
OBN,P,P,911020,05:39:48,55.1138,36.5687,0,38.45,321.7,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
OBN,PnPn,PP,911020,05:41:15,55.1138,36.5687,0,38.45,321.7,-2.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
OBN,P,P,911020,05:39:48,55.1138,36.5687,0,38.45,321.7,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
OBN,PnPn,PP,911020,05:41:15,55.1138,36.5687,0,38.45,321.7,-2.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CN2,P,P,911020,05:39:52,43.8014,125.448,230,38.97,57,-0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CN2,sP,sP,911020,05:40:07,43.8014,125.448,230,38.97,57,2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MDJ,P,P,911020,05:40:18,44.6164,129.592,250,41.99,56,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MLR,P,P,911020,05:40:29,45.4909,25.945,1360,43.26,305.3,1.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KAF,P,P,911020,05:40:49,62.1128,26.3061,205,45.91,328.8,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KAF,P,P,911020,05:40:49,62.1128,26.3061,205,45.91,328.8,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NUR,P,P,911020,05:40:51,60.509,24.649,102,46.21,326.3,0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NUR,P,P,911020,05:40:51,60.509,24.649,102,46.21,326.3,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SOD,P,P,911020,05:41:02,67.3712,26.6291,181,47.65,335.6,0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
UPP,P,P,911020,05:41:17,59.8576,17.6229,14,49.52,324.5,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BRG,P,P,911020,05:41:30,50.8732,13.9428,296,51.23,312.7,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
HFS,P,P,911020,05:41:32,60.1335,13.6945,296.7,51.51,324.6,0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
HFS,P,P,911020,05:41:32,60.1335,13.6945,296.7,51.51,324.6,0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NB2,P,P,911020,05:41:40,61.0397,11.2148,717,52.79,325.6,-1.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BSF,P,P,911020,05:42:06,47.8319,6.7922,1200,56.21,309.6,0,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
HAU,P,P,911020,05:42:08,48.0056,6.3481,577,56.48,309.9,0,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LPG,P,P,911020,05:42:10,45.4977,6.7514,2570,56.68,306.9,0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LPL,P,P,911020,05:42:10,45.5164,6.7324,2070,56.69,306.9,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LBF,P,P,911020,05:42:20,46.9844,3.9772,715,58.25,309.1,-0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SMF,P,P,911020,05:42:21,46.6453,3.8411,459,58.42,308.7,-0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SSF,P,P,911020,05:42:22,47.0615,3.506,355,58.55,309.2,-0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
AVF,P,P,911020,05:42:23,46.7906,3.3526,225,58.71,308.9,-0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BGF,P,P,911020,05:42:27,46.5578,2.8464,390,59.1,308.8,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MAF,P,P,911020,05:42:29,46.2215,2.5664,470,59.37,308.4,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
TCF,P,P,911020,05:42:30,46.2881,2.21,593,59.6,308.6,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CAF,P,P,911020,05:42:33,44.9258,2.0644,630,60.03,307.1,0.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LSF,P,P,911020,05:42:33,46.25,1.5294,430,60.06,308.7,-0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LDF,P,P,911020,05:42:36,48.5936,-0.1222,290,60.58,311.6,-0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
FLN,P,P,911020,05:42:37,48.7625,-0.4819,240,60.77,311.9,-0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LFF,P,P,911020,05:42:40,44.9395,0.7402,200,60.94,307.4,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MFF,P,P,911020,05:42:40,46.6022,-0.1458,270,61.09,309.4,-0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GRR,P,P,911020,05:42:40,48.3883,-0.8583,220,61.1,311.5,-0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LPF,P,P,911020,05:42:41,48.0315,-1.0408,156,61.31,311.2,-0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MTD,P,P,911020,05:43:11,-16.78,31.5833,967,65.41,230.5,1.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ILT,P,P,911020,05:43:15,67.87,-178.73,244,66.49,23.8,-0.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ILT,P,P,911020,05:43:16,67.87,-178.73,244,66.49,23.8,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BUL,P,P,911020,05:43:38,-20.1433,28.6133,1341,69.77,230.1,0.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BRW,P,P,911020,05:43:45,71.3033,-156.748,0,71.14,16.3,1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
MBC,P,P,911020,05:43:54,76.2417,-119.36,15,72.7,4.4,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
WRA,P,P,911020,05:43:59,-19.9426,134.339,419,73.47,125.9,0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
WR2,P,P,911020,05:43:59,-19.9469,134.3624,385.4,73.49,125.8,0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
IMA,P,P,911020,05:44:11,66.0685,-153.679,1380,75.57,19.5,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ASPA,P,P,911020,05:44:12,-23.6669,133.901,555,75.68,129,0,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
QIS,P,P,911020,05:44:22,-20.5577,139.6052,450,77.61,123,-0.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
FBA,P,P,911020,05:44:25,64.9,-147.7933,320,78.08,18.4,0.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
FBA,P,P,911020,05:44:25,64.9,-147.7933,320,78.08,18.4,0.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
INK,P,P,911020,05:44:26,68.3065,-133.5254,44,78.42,11.7,-0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
PMR,P,P,911020,05:44:37,61.5922,-149.1308,100,80.24,21.1,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
TOA,P,P,911020,05:44:40,62.1048,-146.172,909,80.73,19.6,1.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KIC,P,P,911020,05:44:42,6.3606,-4.7411,176,81.12,272.1,0.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KDC,P,P,911020,05:44:47,57.7478,-152.492,13,82,24.9,0.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
RMQ,P,P,911020,05:45:17,-26.4857,148.7582,375,87.86,122.5,1.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ZOBO,PKPab,P,911020,05:52:08,-16.2694,-68.124,4397,146.46,287.8,-1.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
LPB,PKiKP,P,911020,05:52:13,-16.5327,-68.0984,3292,146.57,287.3,1.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
ARE,PKiKP,P,911020,05:52:17,-16.4621,-71.4913,2452,149.3,290.7,0.2,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
